Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;3M Co.;851745;3,613%;-0,115%;-3,055%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Comdirect 100
15.03.2026;Airbus SE;938914;4,766%;-0,836%;-15,072%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;Comdirect 100
15.03.2026;Alphabet Inc. A;A14Y6F;7,493%;-0,052%;-0,726%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
15.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;6,112%;0,014%;0,213%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 100
15.03.2026;Deutsche Telekom AG;555750;4,553%;0,766%;20,499%;-;0%;Informationstechnologie;Deutschland;Aktien;Comdirect 100
15.03.2026;Ferrari N.V.;A2ACKK;2,045%;-0,191%;-8,537%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Comdirect 100
15.03.2026;Intuitive Surgical Inc.;888024;3,334%;-0,547%;-14,299%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Comdirect 100
15.03.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,139%;-1,016%;-24,710%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Comdirect 100
15.03.2026;Mercadolibre Inc.;A0MYNP;2,622%;-0,447%;-14,728%;-;0%;Handel,Konsum;Emerging Markets;Aktien;Comdirect 100
15.03.2026;Meta Platforms Inc. A;A1JWVX;4,188%;-0,192%;-4,428%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
15.03.2026;Microsoft Corp.;870747;4,220%;-0,788%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
15.03.2026;Münchener Rückvers.-Ges. AG;843002;6,169%;-0,284%;-4,376%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Comdirect 100
15.03.2026;NVIDIA Corp.;918422;6,646%;-0,042%;-0,645%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
15.03.2026;Philip Morris Internat. Inc.;A0NDBJ;6,318%;0,657%;11,958%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 100
15.03.2026;Rheinmetall AG;703000;2,145%;0,058%;2,671%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Comdirect 100
15.03.2026;Shell PLC;A3C99G;4,934%;0,958%;24,198%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Comdirect 100
15.03.2026;VISA Inc.;A0NC7B;2,434%;-0,265%;-9,950%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 100
15.03.2026;Walmart Inc.;860853;8,833%;1,268%;16,975%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 100
15.03.2026;Waste Management Inc.;893579;4,452%;0,459%;11,562%;-;0%;Versorger;Nordamerika;Aktien;Comdirect 100
15.03.2026;XETRA Gold;A0S9GB;9,434%;1,422%;17,828%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Comdirect 100
;;;;;;;;;;;
