Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Allianz SE;840400;4,271%;-0,423%;-9,552%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Alphabet Inc. A;A14Y6F;4,279%;-0,029%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Amazon.com Inc.;906866;3,092%;-0,276%;-8,302%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;American Electric Power Co.Inc;850222;3,543%;0,387%;13,182%;-;0%;Versorger;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;AstraZeneca PLC;886455;2,729%;-0,133%;-4,800%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Barclays plc;850403;3,414%;-0,736%;-18,995%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;BBVA;875773;3,347%;-0,363%;-10,333%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Broadcom Inc.;A2JG9Z;3,730%;-0,226%;-6,131%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Eli Lilly and Company;858560;3,852%;-0,564%;-13,445%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Engie S.A.;A0ER6Q;4,533%;0,774%;21,776%;-;0%;Versorger;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Ferrari N.V.;A2ACKK;2,565%;-0,387%;-13,977%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Hermes International S.C.A.;886670;3,060%;-0,627%;-17,908%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Hitachi Ltd.;853219;3,487%;-0,258%;-7,541%;-;0%;Elektro;Asien;Aktien;Muster FFPB Pro
19.03.2026;Holcim Ltd.;869898;3,267%;-0,685%;-18,059%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Howmet Aerospace Inc.;A2PZ2D;4,305%;0,840%;15,190%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;HSBC Holdings PLC;923893;3,871%;0,020%;0,844%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Kering S.A.;851223;2,891%;-0,766%;-22,180%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Lam Research Corp.;A40L1V;2,988%;0,366%;14,239%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Mercadolibre Inc.;A0MYNP;2,720%;-0,500%;-16,145%;-;0%;Handel,Konsum;Emerging Markets;Aktien;Muster FFPB Pro
19.03.2026;Micron Technology Inc.;869020;5,439%;2,069%;57,792%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Microsoft Corp.;870747;2,245%;-0,476%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Mitsubishi UFJ Financial Group;657892;2,827%;-0,046%;-1,661%;-;0%;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;Muster FFPB Pro
19.03.2026;Münchener Rückvers.-Ges. AG;843002;3,935%;-0,224%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro
19.03.2026;NVIDIA Corp.;918422;3,613%;-0,097%;-2,933%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Quanta Services Inc.;912294;3,066%;0,045%;1,492%;-;0%;<nicht gepflegt>;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Rio Tinto PLC;852147;2,426%;-0,183%;-7,216%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Siemens AG;723610;2,657%;-0,568%;-18,613%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster FFPB Pro
19.03.2026;Welltower Inc.;A1409D;3,881%;0,416%;12,570%;-;0%;Immobilien-Aktien/Fonds;Nordamerika;Aktien;Muster FFPB Pro
19.03.2026;Wheaton Precious Metals Corp.;A2DRBP;1,857%;-0,185%;-9,176%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;Muster FFPB Pro
;;;;;;;;;;;
