Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.09.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,502%;EUR;-0,047%;-1,101%;26.05.2033;4,6250%;5,8786;4,3092%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;BMW IHS 3,75 % 20.11.34;A4EBBT;4,824%;EUR;-0,131%;-2,702%;20.11.2034;3,7500%;7,0323;4,4339%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;4,007%;EUR;-0,007%;-0,181%;24.03.2031;3,2500%;4,2120;3,7486%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,037%;EUR;-0,073%;-1,819%;25.11.2031;3,0000%;4,7705;3,8215%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;4,318%;EUR;-0,059%;-1,375%;24.05.2030;1,8750%;3,5685;3,6310%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,828%;EUR;-0,077%;-2,079%;05.07.2034;1,3750%;7,4024;4,0503%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,478%;EUR;-0,088%;-2,535%;12.01.2035;3,8750%;7,1502;4,3000%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;EnBW Green Bond IHS 4,049 % 22.11.29;A3LBKC;4,542%;EUR;-0,017%;-0,384%;22.11.2029;4,0490%;2,9570;3,7657%;Corporates;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,618%;EUR;0,021%;0,597%;31.03.2028;1,8750%;1,5130;3,8028%;Corporates;Deutschland;Renten;5;Muster konservativ cVV
17.09.2026;Fresenius IHS 0,5 % 01.10.28;A3KN0S;4,490%;EUR;0,004%;0,069%;01.10.2028;0,5000%;2,0202;3,7306%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,702%;EUR;0,000%;-0,021%;01.11.2028;2,0000%;2,0615;3,5179%;Financials;Nordamerika;Renten;3;Muster konservativ cVV
17.09.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,741%;EUR;0,027%;0,480%;06.07.2029;5,7500%;2,6441;4,6676%;Financials;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;4,064%;EUR;-0,064%;-1,623%;31.05.2032;3,7500%;5,1991;4,1112%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,831%;EUR;-0,131%;-3,362%;03.09.2031;1,2500%;4,8320;4,3210%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,627%;EUR;-0,053%;-1,466%;31.03.2032;2,8750%;5,1304;3,4877%;staatsgarantiert;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Knorr Bremse Green Bond IHS 3,25 % 30.09.32;A383RY;3,809%;EUR;-0,069%;-1,832%;30.09.2032;3,2500%;5,4189;3,9224%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,569%;EUR;0,034%;0,742%;11.07.2028;4,8750%;1,7654;3,5341%;Financials;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,603%;EUR;0,014%;0,281%;27.09.2030;4,2500%;3,6489;4,3040%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;4,568%;EUR;-0,013%;-0,304%;02.10.2029;4,8750%;2,7798;4,2653%;Financials;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,874%;EUR;0,021%;0,434%;26.11.2028;0,5000%;2,1736;3,4182%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;4,810%;EUR;-0,049%;-1,054%;10.09.2030;3,8750%;3,7652;4,3017%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.09.2026;XETRA Gold;A0S9GB;8,720%;EUR;0,195%;1,487%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster konservativ cVV
;;;;;;;;;;;;;;;
