Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
06.07.2026;Allianz SE;840400;2,459%;EUR;0,181%;7,606%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;Alphabet Inc. A;A14Y6F;6,248%;USD;1,102%;20,299%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,813%;USD;-0,214%;-7,010%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
06.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,391%;EUR;0,019%;0,517%;24.05.2030;1,8750%;3,7693;2,9104%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,912%;EUR;0,023%;1,157%;05.02.2027;5,0000%;0,5836;3,6932%;Financials;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,030%;EUR;0,043%;0,976%;12.01.2035;3,8750%;7,3679;3,6742%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;E.ON SE;ENAG99;3,409%;EUR;0,521%;17,798%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,323%;EUR;0,061%;1,773%;23.05.2034;4,3000%;6,8926;3,6316%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;Environmental Impact 100 ETF (Rize);A3CN9S;2,942%;Sonstige Währungen;-0,078%;-2,580%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
06.07.2026;First Solar Inc.;A0LEKM;2,976%;USD;-0,272%;-8,393%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;GE Vernova Inc.;A404PC;2,604%;USD;0,141%;5,712%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;10,677%;Sonstige Währungen;1,772%;19,060%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster ausgewogen
06.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;2,940%;EUR;-0,031%;-0,982%;03.09.2031;1,2500%;4,9699;3,6341%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;Intuitive Surgical Inc.;888024;1,476%;USD;-0,413%;-21,529%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;Johnson & Johnson;853260;1,954%;USD;-0,009%;-0,440%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;Knorr-Bremse AG;KBX100;3,215%;EUR;0,407%;13,715%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;London Stock Exchange GroupPLC;A0JEJF;1,800%;GBP;0,013%;0,893%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;Microsoft Corp.;870747;2,239%;USD;-0,492%;-17,702%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,010%;Sonstige Währungen;0,106%;3,760%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;ESG Muster ausgewogen
06.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,912%;JPY;0,833%;38,222%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster ausgewogen
06.07.2026;Novartis AG;904278;2,502%;CHF;0,414%;18,793%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;Physical Gold ETC (Invesco);A1AA5X;9,405%;EUR;-0,303%;-3,002%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster ausgewogen
06.07.2026;Procter & Gamble Co., The;852062;2,540%;USD;0,073%;2,926%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
06.07.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;3,405%;EUR;0,040%;1,139%;26.11.2028;0,5000%;2,3737;2,8223%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
06.07.2026;Schneider Electric SE;860180;3,195%;EUR;0,524%;18,497%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
06.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;5,875%;Sonstige Währungen;0,784%;14,693%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster ausgewogen
06.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;2,978%;USD;-0,002%;-0,066%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster ausgewogen
;;;;;;;;;;;;;;;
