Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.09.2026; STOXX Europe 600 SRI ETF (SPDR);A2PPQZ;7,821%;EUR;-0,320%;-4,030%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 100/100 offensiv
17.09.2026;ECPI Circular Economy Leaders ETF (BNP);A2PHCA;9,689%;EUR;0,928%;9,516%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;4;ETF Muster 100/100 offensiv
17.09.2026;Environmental Impact 100 ETF (Rize);A3CN9S;9,268%;USD;0,546%;12,251%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ETF Muster 100/100 offensiv
17.09.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;26,633%;USD;4,517%;18,819%;-;0%;-;-;Index;Global;Aktien;4;ETF Muster 100/100 offensiv
17.09.2026;Physical Gold ETC (Invesco);A1AA5X;9,314%;EUR;0,158%;1,398%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ETF Muster 100/100 offensiv
17.09.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;10,372%;EUR;2,066%;23,438%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 100/100 offensiv
17.09.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;12,100%;USD;0,206%;1,687%;-;0%;-;-;Index;Nordamerika;Aktien;4;ETF Muster 100/100 offensiv
17.09.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;11,207%;EUR;-0,210%;-1,869%;-;0%;-;-;Nachhaltigkeit;Nordamerika;Renten;2;ETF Muster 100/100 offensiv
;;;;;;;;;;;;;;;
