Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
19.08.2026;Advanced Micro Devices Inc.;863186;2,529%;USD;0,164%;6,331%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Allianz SE;840400;4,555%;EUR;0,678%;17,324%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Alphabet Inc. A;A14Y6F;3,241%;USD;0,573%;10,914%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Amazon.com Inc.;906866;3,359%;USD;0,495%;15,842%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;American Electric Power Co.Inc;850222;2,965%;USD;0,373%;11,753%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Applied Materials Inc.;865177;1,432%;USD;0,569%;16,626%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;AstraZeneca PLC;886455;2,015%;GBP;-0,450%;-18,269%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Barclays plc;850403;3,838%;GBP;0,269%;7,410%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Broadcom Inc.;A2JG9Z;2,092%;USD;0,491%;5,941%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Corning Inc.;850808;1,494%;USD;-0,454%;-24,198%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Eli Lilly and Company;858560;4,586%;USD;0,735%;20,214%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Engie S.A.;A0ER6Q;3,623%;EUR;0,742%;18,712%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Hermes International S.C.A.;886670;2,391%;EUR;-0,845%;-24,653%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Hitachi Ltd.;853219;3,201%;JPY;-0,062%;-0,803%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
19.08.2026;Holcim Ltd.;869898;3,057%;CHF;-0,287%;-8,772%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Howmet Aerospace Inc.;A2PZ2D;4,471%;USD;1,659%;39,186%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;HSBC Holdings PLC;923893;4,277%;GBP;1,162%;33,424%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Lam Research Corp.;A40L1V;1,742%;USD;1,311%;48,917%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Linde plc;A3D7VW;2,489%;USD;-0,105%;-4,081%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Micron Technology Inc.;869020;4,102%;USD;6,309%;230,465%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Microsoft Corp.;870747;2,385%;USD;-0,029%;1,189%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Mitsubishi UFJ Financial Group;657892;3,134%;JPY;0,707%;28,758%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;5;Muster FFPB Pro
19.08.2026;Münchener Rückvers.-Ges. AG;843002;3,289%;EUR;-0,169%;-4,146%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;NVIDIA Corp.;918422;3,756%;USD;0,590%;17,489%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Quanta Services Inc.;912294;3,067%;USD;0,542%;18,039%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Rio Tinto PLC;852147;2,446%;GBP;0,243%;8,743%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;Ross Stores Inc.;870053;2,393%;USD;-0,033%;-1,186%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,283%;EUR;-0,055%;-3,676%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
19.08.2026;SanDisk Corp.;A411ZM;2,654%;USD;0,279%;9,488%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Siemens AG;723610;3,006%;EUR;0,275%;9,503%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro
19.08.2026;SK Hynix Inc. (GDRs);A1JWRE;2,291%;EUR;-0,729%;-25,303%;-;0%;-;-;Prod. Gew. & Industrie;Asien;Aktien;5;Muster FFPB Pro
19.08.2026;Vertiv Holdings Co.;A2PZ5A;1,376%;USD;-0,557%;-28,916%;-;0%;-;-;Elektro;Nordamerika;Aktien;5;Muster FFPB Pro
19.08.2026;Welltower Inc.;A1409D;3,788%;USD;0,885%;28,636%;-;0%;-;-;Immobilien-Aktien/Fonds;Nordamerika;Aktien;5;Muster FFPB Pro
;;;;;;;;;;;;;;;
