Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
18.03.2026;ECPI Circular Economy Leaders ETF (BNP);A2PHCA;9,625%;0,189%;1,916%;-;0%;Nachhaltigkeit;Global;Aktien;ETF Muster 100/100 offensiv
18.03.2026;Environmental Impact 100 ETF (Rize);A3CN9S;6,090%;0,396%;6,772%;-;0%;Nachhaltigkeit;Global;Aktien;ETF Muster 100/100 offensiv
18.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;24,782%;0,870%;3,580%;-;0%;Index;Global;Aktien;ETF Muster 100/100 offensiv
18.03.2026;MSCI Europe SRI ETF (iShares);A1H7ZS;9,081%;-0,013%;-0,177%;-;0%;Index;Europa;Aktien;ETF Muster 100/100 offensiv
18.03.2026;Physical Gold ETC (Invesco);A1AA5X;11,088%;1,304%;13,089%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ETF Muster 100/100 offensiv
18.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;9,355%;0,394%;4,308%;-;0%;Index;Europa;Aktien;ETF Muster 100/100 offensiv
18.03.2026;US Growth Equity Active ETF (JPM);A3EW6K;14,100%;-0,640%;-4,215%;-;0%;Index;Nordamerika;Aktien;ETF Muster 100/100 offensiv
18.03.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;12,132%;-0,056%;-0,476%;-;0%;Nachhaltigkeit;Nordamerika;Renten;ETF Muster 100/100 offensiv
;;;;;;;;;;;
