Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
15.09.2026; STOXX Europe 600 SRI ETF (SPDR);A2PPQZ;7,790%;EUR;-0,331%;-4,167%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
15.09.2026;Deutschland Staatsanl. ETF 5-10 J. (Deka);ETFL20;8,311%;EUR;-0,272%;-3,266%;-;0%;-;-;Staat/ Governments;Deutschland;Renten;3;ETF Muster 40/60 ausgew.
15.09.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,201%;USD;0,330%;10,998%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ETF Muster 40/60 ausgew.
15.09.2026;EUR Corp. Bond SRI 3-5Y ETF (BNPP Easy);A2PP8C;12,009%;EUR;-0,147%;-1,072%;-;0%;-;-;Index;Europa;Renten;2;ETF Muster 40/60 ausgew.
15.09.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;21,161%;USD;3,945%;19,171%;-;0%;-;-;Index;Global;Aktien;4;ETF Muster 40/60 ausgew.
15.09.2026;Physical Gold ETC (Invesco);A1AA5X;13,278%;EUR;-0,124%;-0,932%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ETF Muster 40/60 ausgew.
15.09.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,023%;EUR;0,746%;22,580%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
15.09.2026;Sustainable Euro Green Bond ETF (Franklin);A2PB5T;12,640%;EUR;-0,188%;-1,536%;-;0%;-;-;Index;Europa;Renten;3;ETF Muster 40/60 ausgew.
15.09.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;13,041%;EUR;-0,239%;-1,834%;-;0%;-;-;Nachhaltigkeit;Nordamerika;Renten;2;ETF Muster 40/60 ausgew.
;;;;;;;;;;;;;;;
