Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
23.08.2026;Advanced Micro Devices Inc.;863186;2,561%;USD;0,201%;7,910%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Allianz SE;840400;4,574%;EUR;0,707%;18,074%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
23.08.2026;Alphabet Inc. A;A14Y6F;3,235%;USD;0,575%;10,969%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Amazon.com Inc.;906866;3,261%;USD;0,405%;12,723%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;American Electric Power Co.Inc;850222;2,834%;USD;0,250%;7,058%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Applied Materials Inc.;865177;1,418%;USD;0,558%;15,745%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;AstraZeneca PLC;886455;2,047%;GBP;-0,413%;-16,749%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
23.08.2026;Barclays plc;850403;3,813%;GBP;0,252%;6,950%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
23.08.2026;Broadcom Inc.;A2JG9Z;2,122%;USD;0,526%;7,708%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Corning Inc.;850808;1,465%;USD;-0,479%;-25,486%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Eli Lilly and Company;858560;4,487%;USD;0,647%;17,897%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
23.08.2026;Engie S.A.;A0ER6Q;3,605%;EUR;0,732%;18,385%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
23.08.2026;Hermes International S.C.A.;886670;2,371%;EUR;-0,859%;-25,105%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
