Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Airbus SE;938914;5,957%;0,287%;4,928%;-;0%;-;-;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Comdirect 70
02.07.2026;Amazon.com Inc.;906866;4,271%;0,321%;7,998%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;Apple Inc.;865985;3,051%;0,051%;1,713%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;Bayer IHS 4 % 26.08.26;A351UZ;2,659%;0,032%;1,235%;26.08.2026;4,0000%;0,1479;3,4113%;Corporates;Deutschland;Renten;3;Comdirect 70
02.07.2026;Belgien Staat 0,0 % 22.10.31;A287RJ;2,939%;0,024%;0,809%;22.10.2031;0%;5,3041;2,9279%;Staat/ Governments;Europa ohne Deutschland;Renten;3;Comdirect 70
02.07.2026;Berkshire Hathaway Inc. B;A0YJQ2;7,225%;0,267%;3,773%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;Deutsche Telekom AG;555750;5,058%;-0,343%;-6,373%;-;0%;-;-;Informationstechnologie;Deutschland;Aktien;5;Comdirect 70
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,128%;0,026%;1,193%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;Comdirect 70
02.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;2,530%;0,025%;1,014%;31.03.2028;1,8750%;1,7240;3,0820%;Corporates;Deutschland;Renten;5;Comdirect 70
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;7,384%;0,307%;4,381%;-;0%;-;-;Index;Global;Aktien;4;Comdirect 70
02.07.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;2,994%;0,036%;1,230%;31.05.2032;3,7500%;5,4155;3,3954%;Corporates;Deutschland;Renten;3;Comdirect 70
02.07.2026;Johnson & Johnson;853260;4,432%;0,438%;10,990%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,368%;-0,896%;-21,860%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Comdirect 70
02.07.2026;Microsoft Corp.;870747;4,533%;-0,881%;-16,869%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;Münchener Rückvers.-Ges. AG;843002;5,253%;-0,651%;-11,295%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Comdirect 70
02.07.2026;NVIDIA Corp.;918422;4,684%;0,627%;7,319%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;2,119%;0,018%;0,825%;02.10.2029;4,8750%;2,9926;3,5664%;Financials;Europa ohne Deutschland;Renten;3;Comdirect 70
02.07.2026;Rheinmetall AG;703000;2,457%;-0,963%;-28,996%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Comdirect 70
02.07.2026;Shell PLC;A3C99G;4,336%;0,326%;8,525%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Comdirect 70
02.07.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;2,861%;0,024%;0,833%;10.09.2030;3,8750%;3,8440;3,5488%;Corporates;Deutschland;Renten;3;Comdirect 70
02.07.2026;Walmart Inc.;860853;4,824%;0,333%;3,535%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
02.07.2026;XETRA Gold;A0S9GB;12,442%;0,042%;-3,597%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Comdirect 70
;;;;;;;;;;;;;;
