Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
20.07.2026;Advanced Micro Devices Inc.;863186;2,777%;USD;0,424%;17,473%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Allianz SE;840400;4,370%;EUR;0,523%;13,252%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Alphabet Inc. A;A14Y6F;3,366%;USD;0,717%;15,890%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Amazon.com Inc.;906866;3,213%;USD;0,374%;11,471%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;American Electric Power Co.Inc;850222;3,130%;USD;0,553%;18,684%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Applied Materials Inc.;865177;1,543%;USD;0,688%;26,445%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;AstraZeneca PLC;886455;2,077%;GBP;-0,377%;-15,232%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Barclays plc;850403;3,978%;GBP;0,432%;11,996%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Broadcom Inc.;A2JG9Z;2,220%;USD;0,636%;13,097%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Corning Inc.;850808;1,526%;USD;-0,413%;-22,108%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Eli Lilly and Company;858560;4,178%;USD;0,357%;10,193%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
20.07.2026;Engie S.A.;A0ER6Q;3,818%;EUR;0,959%;25,874%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Hermes International S.C.A.;886670;2,516%;EUR;-0,707%;-20,201%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Hitachi Ltd.;853219;2,860%;JPY;-0,370%;-10,825%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
20.07.2026;Holcim Ltd.;869898;3,293%;CHF;-0,037%;-1,135%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
20.07.2026;Howmet Aerospace Inc.;A2PZ2D;4,362%;USD;1,580%;36,649%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
