Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;3M Co.;851745;3,860%;0,081%;2,091%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Airbus SE;938914;5,402%;-0,194%;-3,806%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Comdirect 100
17.06.2026;Alphabet Inc. A;A14Y6F;4,769%;1,664%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Apple Inc.;865985;2,916%;-0,091%;-3,055%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Berkshire Hathaway Inc. B;A0YJQ2;6,208%;-0,003%;-0,182%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Deutsche Telekom AG;555750;3,756%;0,015%;0,565%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Comdirect 100
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;10,452%;0,342%;3,414%;-;0%;Index;Global;Aktien;4;Comdirect 100
17.06.2026;Intuitive Surgical Inc.;888024;2,877%;-1,050%;-27,477%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,370%;-0,832%;-20,722%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Comdirect 100
17.06.2026;Mercadolibre Inc.;A0MYNP;2,594%;-0,510%;-17,262%;-;0%;Handel,Konsum;Emerging Markets;Aktien;5;Comdirect 100
17.06.2026;Meta Platforms Inc. A;A1JWVX;3,919%;-0,511%;-12,207%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Microsoft Corp.;870747;4,095%;-0,963%;-19,810%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Münchener Rückvers.-Ges. AG;843002;5,436%;-1,111%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Comdirect 100
17.06.2026;NVIDIA Corp.;918422;4,895%;0,986%;12,057%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Philip Morris Internat. Inc.;A0NDBJ;6,574%;0,890%;16,287%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Rheinmetall AG;703000;1,599%;-0,509%;-24,968%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Comdirect 100
17.06.2026;Shell PLC;A3C99G;4,519%;0,489%;12,448%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Comdirect 100
17.06.2026;VISA Inc.;A0NC7B;2,652%;-0,087%;-3,593%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Walmart Inc.;860853;5,080%;0,656%;8,742%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;Waste Management Inc.;893579;4,083%;0,031%;0,744%;-;0%;Versorger;Nordamerika;Aktien;5;Comdirect 100
17.06.2026;XETRA Gold;A0S9GB;8,196%;0,019%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Comdirect 100
;;;;;;;;;;;;
