Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Airbus SE;938914;4,780%;-0,963%;-17,212%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;Comdirect 70
19.03.2026;Amazon.com Inc.;906866;3,619%;-0,317%;-8,302%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 70
19.03.2026;Bayer IHS 4 % 26.08.26;A351UZ;2,633%;0,012%;0,461%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;Comdirect 70
19.03.2026;Belgien Staat 0,0 % 22.10.31;A287RJ;2,893%;-0,016%;-0,566%;22.10.2031;0%;Staat/ Governments;Europa ohne Deutschland;Renten;Comdirect 70
19.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;6,748%;-0,194%;-2,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 70
19.03.2026;Deutsche Telekom AG;555750;6,465%;0,879%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Comdirect 70
19.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,163%;-0,014%;-0,679%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;Comdirect 70
19.03.2026;Ferrari N.V.;A2ACKK;2,751%;-0,436%;-13,977%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Comdirect 70
19.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;2,539%;-0,008%;-0,336%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Comdirect 70
19.03.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;2,935%;-0,017%;-0,589%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;Comdirect 70
19.03.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,106%;-1,159%;-27,771%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Comdirect 70
19.03.2026;Microsoft Corp.;870747;4,447%;-0,979%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 70
19.03.2026;Münchener Rückvers.-Ges. AG;843002;5,567%;-0,336%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Comdirect 70
19.03.2026;NVIDIA Corp.;918422;5,927%;-0,173%;-2,933%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 70
19.03.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;2,086%;-0,011%;-0,535%;02.10.2029;4,8750%;Financials;Europa ohne Deutschland;Renten;Comdirect 70
19.03.2026;Rheinmetall AG;703000;3,461%;0,013%;0,225%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Comdirect 70
19.03.2026;Shell PLC;A3C99G;5,128%;1,086%;27,619%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Comdirect 70
19.03.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;2,815%;-0,016%;-0,571%;10.09.2030;3,8750%;Corporates;Deutschland;Renten;Comdirect 70
19.03.2026;Walmart Inc.;860853;7,440%;0,682%;10,409%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 70
19.03.2026;XETRA Gold;A0S9GB;13,687%;1,300%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Comdirect 70
;;;;;;;;;;;
