Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;3M Co.;851745;3,491%;-0,360%;-9,629%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Comdirect 100
19.03.2026;Airbus SE;938914;4,816%;-0,956%;-17,212%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;Comdirect 100
19.03.2026;Alphabet Inc. A;A14Y6F;7,782%;-0,038%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
19.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;6,140%;-0,175%;-2,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 100
19.03.2026;Deutsche Telekom AG;555750;4,553%;0,604%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Comdirect 100
19.03.2026;Ferrari N.V.;A2ACKK;1,994%;-0,313%;-13,977%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Comdirect 100
19.03.2026;Intuitive Surgical Inc.;888024;3,463%;-0,540%;-14,114%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Comdirect 100
19.03.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,121%;-1,142%;-27,771%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Comdirect 100
19.03.2026;Mercadolibre Inc.;A0MYNP;2,672%;-0,491%;-16,145%;-;0%;Handel,Konsum;Emerging Markets;Aktien;Comdirect 100
19.03.2026;Meta Platforms Inc. A;A1JWVX;4,233%;-0,296%;-6,817%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
19.03.2026;Microsoft Corp.;870747;4,243%;-0,914%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
19.03.2026;Münchener Rückvers.-Ges. AG;843002;6,299%;-0,375%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Comdirect 100
19.03.2026;NVIDIA Corp.;918422;6,731%;-0,194%;-2,933%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 100
19.03.2026;Philip Morris Internat. Inc.;A0NDBJ;6,040%;0,163%;3,260%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 100
19.03.2026;Rheinmetall AG;703000;2,171%;0,007%;0,225%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Comdirect 100
19.03.2026;Shell PLC;A3C99G;5,255%;1,093%;27,619%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Comdirect 100
19.03.2026;VISA Inc.;A0NC7B;2,428%;-0,356%;-13,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 100
19.03.2026;Walmart Inc.;860853;8,642%;0,767%;10,409%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 100
19.03.2026;Waste Management Inc.;893579;4,463%;0,313%;7,899%;-;0%;Versorger;Nordamerika;Aktien;Comdirect 100
19.03.2026;XETRA Gold;A0S9GB;8,819%;0,492%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Comdirect 100
;;;;;;;;;;;
