Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Alphabet Inc. A;A14Y6F;3,664%;-0,028%;-0,726%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Amazon.com Inc.;906866;2,666%;-0,220%;-7,498%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Arista Networks Inc.;A40V33;3,275%;0,149%;4,795%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,374%;-0,030%;-0,707%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
15.03.2026;Booking Holdings Inc.;A2JEXP;2,862%;-0,661%;-18,525%;-;0%;Dienstleistungen;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Deutsche Börse AG;581005;2,755%;0,250%;10,036%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster ausgewogen cVV
15.03.2026;Deutsche Telekom AG;555750;2,908%;0,499%;20,499%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster ausgewogen cVV
15.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,074%;-0,007%;-0,350%;05.02.2027;5,0000%;Financials;Deutschland;Renten;Muster ausgewogen cVV
15.03.2026;Eli Lilly and Company;858560;3,170%;-0,197%;-5,818%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Franklin European Dividend ETF;A2DTF2;3,464%;0,018%;0,519%;-;0%;Index;Europa;Aktien;Muster ausgewogen cVV
15.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;4,734%;0,562%;13,410%;-;0%;Index;Global;Aktien;Muster ausgewogen cVV
15.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,131%;-0,038%;-0,923%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster ausgewogen cVV
15.03.2026;Hochtief IHS 0,625 % 26.04.29;A3E5S0;3,105%;-0,016%;-0,534%;26.04.2029;0,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
15.03.2026;Japan Equity Partners Portfolio GS;A14T2K;2,911%;0,097%;3,339%;-;0%;Region;Japan;Aktien;Muster ausgewogen cVV
15.03.2026;Linde plc;A3D7VW;3,003%;0,485%;19,062%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster ausgewogen cVV
15.03.2026;McDonalds Corp.;856958;3,036%;0,026%;0,856%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Meta Platforms Inc. A;A1JWVX;2,634%;-0,122%;-4,428%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;Microsoft Corp.;870747;2,248%;-0,431%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,880%;-0,031%;-1,088%;-;0%;Chemie,Pharma;Global;Aktien;Muster ausgewogen cVV
15.03.2026;Münchener Rückvers.-Ges. AG;843002;3,101%;-0,143%;-4,376%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster ausgewogen cVV
15.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,745%;0,027%;0,700%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
15.03.2026;Semiconductor ETF (VanEck);A2QC5J;5,381%;0,594%;12,235%;-;0%;Nachhaltigkeit;Global;Aktien;Muster ausgewogen cVV
15.03.2026;Siemens AG;723610;2,902%;-0,246%;-7,861%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster ausgewogen cVV
15.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;3,607%;-0,195%;-5,216%;-;0%;Index;Europa;Aktien;Muster ausgewogen cVV
15.03.2026;VISA Inc.;A0NC7B;2,405%;-0,269%;-9,950%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster ausgewogen cVV
15.03.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;2,817%;-0,018%;-0,661%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
15.03.2026;XETRA Gold;A0S9GB;12,141%;1,858%;17,828%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster ausgewogen cVV
;;;;;;;;;;;
