Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
07.07.2026;Allianz SE;840400;2,997%;EUR;0,230%;8,271%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Comdirect 30
07.07.2026;Bayer IHS 4 % 26.08.26;A351UZ;6,176%;EUR;0,078%;1,275%;26.08.2026;4,0000%;0,1342;3,4616%;Corporates;Deutschland;Renten;3;Comdirect 30
07.07.2026;Belgien Staat 0,0 % 22.10.31;A287RJ;6,160%;EUR;0,024%;0,369%;22.10.2031;0%;5,2904;3,0209%;Staat/ Governments;Europa ohne Deutschland;Renten;3;Comdirect 30
07.07.2026;Berkshire Hathaway Inc. B;A0YJQ2;3,055%;USD;0,097%;3,208%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;Deutsche Telekom AG;555750;2,695%;EUR;-0,096%;-3,985%;-;0%;-;-;Informationstechnologie;Deutschland;Aktien;5;Comdirect 30
07.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;5,411%;EUR;0,067%;1,203%;05.02.2027;5,0000%;0,5808;3,6298%;Financials;Deutschland;Renten;3;Comdirect 30
07.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;6,275%;EUR;0,082%;1,295%;23.05.2034;4,3000%;6,8899;3,7074%;Corporates;Deutschland;Renten;3;Comdirect 30
07.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;7,190%;EUR;0,070%;0,970%;31.03.2028;1,8750%;1,7103;3,1330%;Corporates;Deutschland;Renten;5;Comdirect 30
07.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;5,854%;EUR;0,103%;1,762%;06.07.2029;5,7500%;2,8422;3,8723%;Financials;Deutschland;Renten;3;Comdirect 30
07.07.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;5,757%;EUR;0,057%;0,982%;31.05.2032;3,7500%;5,4016;3,4531%;Corporates;Deutschland;Renten;3;Comdirect 30
07.07.2026;Hochtief IHS 4,25 % 31.05.30;A383EL;6,045%;EUR;0,074%;1,239%;31.05.2030;4,2500%;3,6671;3,4477%;Corporates;Deutschland;Renten;3;Comdirect 30
07.07.2026;Johnson & Johnson;853260;4,454%;USD;0,512%;12,990%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;Microsoft Corp.;870747;2,386%;USD;-0,492%;-17,053%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;Philip Morris Internat. Inc.;A0NDBJ;2,931%;USD;0,550%;22,656%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;6,131%;EUR;0,084%;1,351%;27.09.2030;4,2500%;3,8494;3,7901%;Corporates;Deutschland;Renten;3;Comdirect 30
07.07.2026;Shell PLC;A3C99G;3,269%;GBP;0,375%;13,016%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Comdirect 30
07.07.2026;Walmart Inc.;860853;3,786%;USD;0,136%;3,466%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;Waste Management Inc.;893579;2,731%;USD;0,287%;11,584%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Comdirect 30
07.07.2026;XETRA Gold;A0S9GB;12,342%;EUR;0,188%;-3,107%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Comdirect 30
;;;;;;;;;;;;;;;
