Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Comdirect 70;11.03.2024;0;0;0;0;0;EUR
Comdirect 70;12.03.2024;-0,0000796151;-79,62;-0,0000796151;-79,62;0,004588882;EUR
Comdirect 70;13.03.2024;-0,0006314130;-631,36;-0,0007109779;-710,98;-0,000213656;EUR
Comdirect 70;14.03.2024;0,0025626657;2.560,84;0,0018498658;1.849,87;-0,001195535;EUR
Comdirect 70;15.03.2024;-0,0046248911;-4.633,45;-0,0027835807;-2.783,58;-0,002272658;EUR
Comdirect 70;16.03.2024;0,0000152312;15,19;-0,0027683918;-2.768,39;0;EUR
Comdirect 70;17.03.2024;0,0000152310;15,19;-0,0027532030;-2.753,20;0;EUR
Comdirect 70;18.03.2024;-0,0000398782;-39,77;-0,0027929714;-2.792,97;0,000996597;EUR
Comdirect 70;19.03.2024;0,0013649096;1.361,10;-0,0014318739;-1.431,87;0,003556641;EUR
Comdirect 70;20.03.2024;0,0059383055;5.929,80;0,0044979286;4.497,93;0,001251756;EUR
Comdirect 70;21.03.2024;0,0050775084;5.100,35;0,0095982753;9.598,28;0,004944889;EUR
Comdirect 70;22.03.2024;0,0006161226;622,04;0,0102203116;10.220,31;0,001136653;EUR
Comdirect 70;23.03.2024;0,0000150497;15,20;0,0102355151;10.235,52;0;EUR
Comdirect 70;24.03.2024;0,0000150495;15,20;0,0102507186;10.250,72;0;EUR
Comdirect 70;25.03.2024;-0,0024493221;-2.474,43;0,0077762892;7.776,29;-0,001602187;EUR
Comdirect 70;26.03.2024;0,0011208180;1.129,53;0,0089058230;8.905,82;0,001203869;EUR
Comdirect 70;27.03.2024;0,0028282904;2.853,48;0,0117593016;11.759,30;0,004139678;EUR
Comdirect 70;28.03.2024;0,0044553299;4.507,72;0,0162670231;16.267,02;0,000710103;EUR
Comdirect 70;29.03.2024;-0,0000388886;-39,52;0,0162275018;16.227,50;0,000071284;EUR
Comdirect 70;30.03.2024;0,0000149641;15,21;0,0162427087;16.242,71;0;EUR
Comdirect 70;31.03.2024;0,0000129120;13,12;0,0162558305;16.255,83;0;EUR
Comdirect 70;01.04.2024;0,0008975624;912,15;0,0171679835;17.167,98;0,000343290;EUR
Comdirect 70;02.04.2024;-0,0036591208;-3.721,94;0,0134460429;13.446,04;-0,005409796;EUR
Comdirect 70;03.04.2024;-0,0022582215;-2.288,59;0,0111574573;11.157,46;0,000686148;EUR
Comdirect 70;04.04.2024;-0,0064286295;-6.500,36;0,0046571006;4.657,10;-0,001627123;EUR
Comdirect 70;05.04.2024;0,0026740876;2.686,54;0,0073436418;7.343,64;-0,001174720;EUR
Comdirect 70;06.04.2024;0,0000150914;15,20;0,0073588440;7.358,84;0;EUR
Comdirect 70;07.04.2024;0,0000150912;15,20;0,0073740463;7.374,05;0;EUR
Comdirect 70;08.04.2024;-0,0004897077;-493,32;0,0068807274;6.880,73;0,000274326;EUR
Comdirect 70;09.04.2024;-0,0053531972;-5.390,03;0,0014906964;1.490,70;-0,001240537;EUR
Comdirect 70;10.04.2024;0,0008069162;808,12;0,0022988154;2.298,82;-0,000877533;EUR
Comdirect 70;11.04.2024;0,0045770482;4.587,57;0,0068863854;6.886,39;-0,000640191;EUR
Comdirect 70;12.04.2024;0,0000897445;90,36;0,0069767480;6.976,75;0,001008667;EUR
Comdirect 70;13.04.2024;0,0000151349;15,24;0,0069919885;6.991,99;0;EUR
Comdirect 70;14.04.2024;0,0000151346;15,24;0,0070072289;7.007,23;0;EUR
