Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster Dynamic cVV;05.10.2018;0;0;0;0;0;EUR
Muster Dynamic cVV;06.10.2018;0;0;0;0;0;EUR
Muster Dynamic cVV;07.10.2018;0;0;0;0;0;EUR
Muster Dynamic cVV;08.10.2018;0;0;0;0;-0,000352092;EUR
Muster Dynamic cVV;09.10.2018;0;0;0;0;-0,002120111;EUR
Muster Dynamic cVV;10.10.2018;0;0;0;0;-0,028422049;EUR
Muster Dynamic cVV;11.10.2018;0;0;0;0;-0,023458694;EUR
Muster Dynamic cVV;12.10.2018;-0,0015256639;-1.525,66;-0,0015256639;-1.525,66;0,008907372;EUR
Muster Dynamic cVV;13.10.2018;0;0;-0,0015256639;-1.525,66;0;EUR
Muster Dynamic cVV;14.10.2018;0;0;-0,0015256639;-1.525,66;0;EUR
Muster Dynamic cVV;15.10.2018;-0,0014794315;-1.477,17;-0,0030028383;-3.002,84;-0,006185050;EUR
Muster Dynamic cVV;16.10.2018;0,0119305219;11.894,70;0,0088918581;8.891,86;0,018093107;EUR
Muster Dynamic cVV;17.10.2018;-0,0026602184;-2.683,87;0,0062079854;6.207,99;0,003605832;EUR
Muster Dynamic cVV;18.10.2018;-0,0116430357;-11.715,32;-0,0055073300;-5.507,33;-0,008582054;EUR
Muster Dynamic cVV;19.10.2018;-0,0014573546;-1.449,33;-0,0069566585;-6.956,66;-0,001557727;EUR
Muster Dynamic cVV;20.10.2018;0;0;-0,0069566585;-6.956,66;0;EUR
Muster Dynamic cVV;21.10.2018;0;0;-0,0069566585;-6.956,66;0;EUR
Muster Dynamic cVV;22.10.2018;0,0001248365;123,97;-0,0068326905;-6.832,69;-0,002013794;EUR
Muster Dynamic cVV;23.10.2018;-0,0078336991;-7.780,17;-0,0146128643;-14.612,86;-0,008568645;EUR
Muster Dynamic cVV;24.10.2018;-0,0094791918;-9.340,67;-0,0239535380;-23.953,54;-0,016895336;EUR
Muster Dynamic cVV;25.10.2018;0,0054109736;5.281,36;-0,0186721764;-18.672,18;0,010337344;EUR
Muster Dynamic cVV;26.10.2018;-0,0092415303;-9.068,97;-0,0277411472;-27.741,15;-0,011368048;EUR
Muster Dynamic cVV;27.10.2018;0;0;-0,0277411472;-27.741,15;0;EUR
Muster Dynamic cVV;28.10.2018;0;0;-0,0277411472;-27.741,15;0;EUR
Muster Dynamic cVV;29.10.2018;0,0030976840;3.011,75;-0,0247293965;-24.729,40;-0,004787501;EUR
Muster Dynamic cVV;30.10.2018;0,0067387158;6.572,07;-0,0181573250;-18.157,33;0,013187890;EUR
Muster Dynamic cVV;31.10.2018;0,0161697358;15.876,14;-0,0022811884;-2.281,19;0,015364282;EUR
Muster Dynamic cVV;01.11.2018;0,0078291076;7.811,25;0,0055300595;5.530,06;0,003483045;EUR
Muster Dynamic cVV;02.11.2018;0,0027664331;2.781,73;0,0083117911;8.311,79;-0,000450070;EUR
Muster Dynamic cVV;03.11.2018;0;0;0,0083117911;8.311,79;0;EUR
Muster Dynamic cVV;04.11.2018;0;0;0,0083117911;8.311,79;0;EUR
Muster Dynamic cVV;05.11.2018;-0,0008962718;-903,72;0,0074080697;7.408,07;0,000021337;EUR
Muster Dynamic cVV;06.11.2018;-0,0002093448;-210,90;0,0071971740;7.197,17;0,003429771;EUR
Muster Dynamic cVV;07.11.2018;0,0119566468;12.042,70;0,0192398749;19.239,87;0,011697912;EUR
Muster Dynamic cVV;08.11.2018;0,0038921965;3.967,08;0,0232069568;23.206,96;0,002940379;EUR
Muster Dynamic cVV;09.11.2018;-0,0020100203;-2.056,67;0,0211502900;21.150,29;-0,002902742;EUR
Muster Dynamic cVV;10.11.2018;0;0;0,0211502900;21.150,29;0;EUR
Muster Dynamic cVV;11.11.2018;0;0;0,0211502900;21.150,29;0;EUR
Muster Dynamic cVV;12.11.2018;-0,0074273149;-7.584,40;0,0135658852;13.565,89;-0,007782401;EUR
Muster Dynamic cVV;13.11.2018;0,0001225187;124,18;0,0136900660;13.690,07;-0,003645536;EUR
Muster Dynamic cVV;14.11.2018;-0,0070687550;-7.165,53;0,0065245393;6.524,54;-0,008034042;EUR
Muster Dynamic cVV;15.11.2018;-0,0038126698;-3.837,55;0,0026869936;2.686,99;0,004557879;EUR
Muster Dynamic cVV;16.11.2018;-0,0018718039;-1.876,36;0,0008106371;810,63;-0,003948578;EUR
Muster Dynamic cVV;17.11.2018;0;0;0,0008106371;810,63;0;EUR
Muster Dynamic cVV;18.11.2018;0;0;0,0008106371;810,63;0;EUR
Muster Dynamic cVV;19.11.2018;-0,0117694937;-11.776,08;-0,0109656252;-10.965,45;-0,015998620;EUR
Muster Dynamic cVV;20.11.2018;-0,0142038770;-14.044,56;-0,0250105935;-25.010,00;-0,012650336;EUR
Muster Dynamic cVV;21.11.2018;0,0016214955;1.580,53;-0,0234301833;-23.429,47;0,005499758;EUR
Muster Dynamic cVV;22.11.2018;-0,0029246277;-2.855,37;-0,0262858115;-26.284,84;-0,001492088;EUR
Muster Dynamic cVV;23.11.2018;0,0035494439;3.455,26;-0,0228305680;-22.829,58;0,001022487;EUR
Muster Dynamic cVV;24.11.2018;0;0;-0,0228305680;-22.829,58;0;EUR
Muster Dynamic cVV;25.11.2018;0;0;-0,0228305680;-22.829,58;0;EUR
Muster Dynamic cVV;26.11.2018;0,0092126632;8.999,72;-0,0138305514;-13.829,86;0,012611102;EUR
Muster Dynamic cVV;27.11.2018;0,0016606295;1.637,19;-0,0121933563;-12.192,67;0,004865303;EUR
Muster Dynamic cVV;28.11.2018;0,0061370662;6.060,49;-0,0061325596;-6.132,18;0,016110042;EUR
Muster Dynamic cVV;29.11.2018;-0,0014421967;-1.432,94;-0,0075656344;-7.565,12;-0,007255459;EUR
Muster Dynamic cVV;30.11.2018;-0,0008582397;-851,50;-0,0084172407;-8.416,62;0,008852162;EUR
Muster Dynamic cVV;01.12.2018;0;0;-0,0084172407;-8.416,62;0;EUR
Muster Dynamic cVV;02.12.2018;0;0;-0,0084172407;-8.416,62;0;EUR
Muster Dynamic cVV;03.12.2018;0,0142658836;14.141,76;0,0057255801;5.725,13;0,010143296;EUR
Muster Dynamic cVV;04.12.2018;-0,0126287248;-12.697,43;-0,0069728835;-6.972,30;-0,024406179;EUR
Muster Dynamic cVV;05.12.2018;-0,0048317495;-4.796,69;-0,0117700250;-11.768,99;-0,003173116;EUR
Muster Dynamic cVV;06.12.2018;-0,0173688359;-17.159,48;-0,0289311461;-28.928,47;-0,012468013;EUR
Muster Dynamic cVV;07.12.2018;-0,0112614654;-10.932,49;-0,0398648122;-39.860,96;-0,013596872;EUR
Muster Dynamic cVV;08.12.2018;0;0;-0,0398648122;-39.860,96;0;EUR
Muster Dynamic cVV;09.12.2018;0;0;-0,0398648122;-39.860,96;0;EUR
Muster Dynamic cVV;10.12.2018;-0,0070580320;-6.774,18;-0,0466399062;-46.635,13;-0,005049625;EUR
Muster Dynamic cVV;11.12.2018;0,0082800868;7.890,99;-0,0387483167;-38.744,14;0,005528808;EUR
Muster Dynamic cVV;12.12.2018;0,0059189760;5.687,54;-0,0330603354;-33.056,60;0,007169888;EUR
Muster Dynamic cVV;13.12.2018;0,0047791131;4.619,43;-0,0284405272;-28.437,17;0,000884997;EUR
Muster Dynamic cVV;14.12.2018;-0,0098358434;-9.552,20;-0,0379940693;-37.989,37;-0,011784087;EUR
Muster Dynamic cVV;15.12.2018;0;0;-0,0379940693;-37.989,37;0;EUR
Muster Dynamic cVV;16.12.2018;0;0;-0,0379940693;-37.989,37;0;EUR
Muster Dynamic cVV;17.12.2018;-0,0230776837;-22.191,74;-0,0601888736;-60.181,11;-0,017916244;EUR
Muster Dynamic cVV;18.12.2018;-0,0064110843;-6.022,69;-0,0662126869;-66.203,80;-0,005592916;EUR
Muster Dynamic cVV;19.12.2018;-0,0042292148;-3.947,53;-0,0701611004;-70.151,33;-0,013173303;EUR
Muster Dynamic cVV;20.12.2018;-0,0288595977;-26.823,50;-0,0969888061;-96.974,83;-0,015276356;EUR
Muster Dynamic cVV;21.12.2018;-0,0027719509;-2.502,03;-0,0994916618;-99.476,86;-0,014735546;EUR
Muster Dynamic cVV;22.12.2018;0;0;-0,0994916618;-99.476,86;0;EUR
Muster Dynamic cVV;23.12.2018;0;0;-0,0994916618;-99.476,86;0;EUR
Muster Dynamic cVV;24.12.2018;-0,0147884072;-13.311,38;-0,1128055297;-112.788,24;-0,017448483;EUR
